,categories,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.neighborhood,location.postalCode,location.state,name,referralId,venuePage.id
31,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,5528be3e498eb8ced48d1478,Albert Coates Ln,AU,Melbourne,Australia,Lonsdale st,84,"['Albert Coates Ln (Lonsdale st)', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.811181490594485, 'lng': 144.96503218537143}]",-37.811181490594485,144.96503218537143,,3000,VIC,Plantation,v-1599966913,
32,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,5d9dc2c4196b510008ce3f95,"585 Little Collins Street, Suite 569",AU,Melbourne,Australia,,24,"['585 Little Collins Street, Suite 569', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.8177615, 'lng': 144.95539740000004}]",-37.8177615,144.95539740000004,,3000,VIC,Chalk Coffee Roasters,v-1599966914,564829548
33,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,500db717e4b0ba42c323254d,,AU,,Australia,,108,['Australia'],"[{'label': 'display', 'lat': -37.818904205705486, 'lng': 144.95536243774285}]",-37.818904205705486,144.95536243774285,,,,Angry Pete's Coffee Box,v-1599966914,
34,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,4e72cf4152b145ffbf4c147a,Stall 101-102 Victoria Market,AU,Melbourne,Australia,Therry St,105,"['Stall 101-102 Victoria Market (Therry St)', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.807198629978856, 'lng': 144.9593424797058}]",-37.807198629978856,144.9593424797058,,3000,VIC,McIver's Coffee & Tea Merchants,v-1599966915,
35,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,4e2b8c6a636553b25b664e12,109 -111 Therry St,AU,Melbourne,Australia,,117,"['109 -111 Therry St', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.80736677605291, 'lng': 144.95915525013692}]",-37.80736677605291,144.95915525013692,,3000,VIC,Market Lane Coffee,v-1599966915,
36,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,4b563eaff964a520290728e3,521 Elizabeth St,AU,Melbourne,Australia,Victoria St,125,"['521 Elizabeth St (Victoria St)', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.8065974091116, 'lng': 144.95964655899672}]",-37.8065974091116,144.95964655899672,,3000,VIC,Coffea Cafe,v-1599966915,51701872
37,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,58e3149c6cea3f078978c106,,AU,Melbourne,Australia,,127,"['Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.807102, 'lng': 144.959121}]",-37.807102,144.959121,,3000,VIC,Market Lane Victoria Market Booth 73-76,v-1599966915,
38,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,4fda7a38e4b02f685e932067,547 Flinders Lane,AU,Melbourne,Australia,,65,"['547 Flinders Lane', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.819658662663024, 'lng': 144.95557753022288}]",-37.819658662663024,144.95557753022288,,3000,VIC,Kaldi Coffee,v-1599966916,
39,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,4e72cf4152b145ffbf4c147a,Stall 101-102 Victoria Market,AU,Melbourne,Australia,Therry St,64,"['Stall 101-102 Victoria Market (Therry St)', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.807198629978856, 'lng': 144.9593424797058}]",-37.807198629978856,144.9593424797058,,3000,VIC,McIver's Coffee & Tea Merchants,v-1599966917,
40,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,4e2b8c6a636553b25b664e12,109 -111 Therry St,AU,Melbourne,Australia,,40,"['109 -111 Therry St', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.80736677605291, 'lng': 144.95915525013692}]",-37.80736677605291,144.95915525013692,,3000,VIC,Market Lane Coffee,v-1599966917,
41,"[{'id': '4bf58dd8d48988d143941735', 'name': 'Breakfast Spot', 'pluralName': 'Breakfast Spots', 'shortName': 'Breakfast', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/breakfast_', 'suffix': '.png'}, 'primary': True}]",False,53b23f8d498e1d3791fe885b,,AU,,Australia,,73,['Australia'],"[{'label': 'display', 'lat': -37.808207, 'lng': 144.959551}]",-37.808207,144.959551,,,,Franklin Street Coffee,v-1599966917,
42,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,58e3149c6cea3f078978c106,,AU,Melbourne,Australia,,68,"['Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.807102, 'lng': 144.959121}]",-37.807102,144.959121,,3000,VIC,Market Lane Victoria Market Booth 73-76,v-1599966917,
43,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,4e72cf4152b145ffbf4c147a,Stall 101-102 Victoria Market,AU,Melbourne,Australia,Therry St,64,"['Stall 101-102 Victoria Market (Therry St)', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.807198629978856, 'lng': 144.9593424797058}]",-37.807198629978856,144.9593424797058,,3000,VIC,McIver's Coffee & Tea Merchants,v-1599966917,
44,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,4e2b8c6a636553b25b664e12,109 -111 Therry St,AU,Melbourne,Australia,,40,"['109 -111 Therry St', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.80736677605291, 'lng': 144.95915525013692}]",-37.80736677605291,144.95915525013692,,3000,VIC,Market Lane Coffee,v-1599966917,
45,"[{'id': '4bf58dd8d48988d143941735', 'name': 'Breakfast Spot', 'pluralName': 'Breakfast Spots', 'shortName': 'Breakfast', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/breakfast_', 'suffix': '.png'}, 'primary': True}]",False,53b23f8d498e1d3791fe885b,,AU,,Australia,,73,['Australia'],"[{'label': 'display', 'lat': -37.808207, 'lng': 144.959551}]",-37.808207,144.959551,,,,Franklin Street Coffee,v-1599966917,
46,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,58e3149c6cea3f078978c106,,AU,Melbourne,Australia,,68,"['Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.807102, 'lng': 144.959121}]",-37.807102,144.959121,,3000,VIC,Market Lane Victoria Market Booth 73-76,v-1599966917,
