data_format,development_key,status,year_completed,clue_small_area,clue_block,street_address,property_id,property_id_2,property_id_3,property_id_4,property_id_5,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student accommodation units,institutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application_no,longitude,latitude,Location 1
Post May 16,X0007601,APPLIED,,Melbourne (CBD),93,354-360 William Street MELBOURNE VIC 3000,631819,,,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,609",245,0,0,0,0,0,0,0,34,124,TP-2015-459/C,144.9564542,-37.81095502,POINT (144.95645420000002 -37.81095502)
Post May 16,X0007602,APPLIED,,Carlton,255,"121-131 Cardigan Street, Carlton, 3053",101604,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,"11,392",0,0,0,0,33,48,TP-2019-787,144.964453,-37.80363215,POINT (144.964453 -37.80363215)
Post May 16,X0007604,APPLIED,,Docklands,131,"633-669 Flinders Street, Docklands, 3008",111287,,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,341",620,0,0,0,0,0,0,0,121,202,TPMR-2019-27,144.9535414,-37.82256813,POINT (144.9535414 -37.82256813)
Post May 16,X0007605,APPLIED,,West Melbourne (Residential),91,"363 King Street, West Melbourne, 3003",105324,,,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,799",235,0,0,0,0,0,0,0,17,44,TP-2019-834,144.9532647,-37.81183421,POINT (144.9532647 -37.81183421)
Post May 16,X0007606,APPLIED,,East Melbourne,621,"370 Albert Street, East Melbourne, 3002",100354,100355,,,,10,24,0,0,10,14,0,0,0,0,0,0,0,0,0,886,159,0,0,0,0,0,0,0,72,62,TP-2019-835,144.9789497,-37.80956912,POINT (144.9789497 -37.80956912)
Post May 16,X0007607,APPLIED,,Melbourne (CBD),51,640-652 Bourke Street MELBOURNE VIC 3000,101168,,,,,71,857,0,537,275,45,0,0,0,0,0,0,0,0,0,0,647,0,0,0,0,0,320,0,193,387,TPM-2015-26/A,144.9544085,-37.81617703,POINT (144.9544085 -37.81617703)
Post May 16,X0007608,APPLIED,,West Melbourne (Industrial),502,"1 Lennon Street, West Melbourne, 3003",105528,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,389",0,0,"8,198",0,0,0,0,0,102,40,TP-2019-852,144.9276447,-37.80056882,POINT (144.9276447 -37.80056882)
Post May 16,X0007609,APPLIED,,North Melbourne,361,"240-248 Victoria Street, North Melbourne, 3051",109842,,,,,8,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,375,0,0,0,0,0,0,0,0,0,TP-2019-855,144.9581231,-37.80591079,POINT (144.9581231 -37.80591079)
Post May 16,X0007610,APPLIED,,Docklands,"1,110","476 Docklands Drive, Docklands, 3008",580075,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,704",0,4125,0,0,0,0,0,0,1,0,TP-2019-936,144.9357779,-37.81432653,POINT (144.9357779 -37.81432653)
Post May 16,X0007801,APPLIED,,North Melbourne,"2,385","9-101 Alfred Street, North Melbourne, 3051",616891,,,,,12,165,0,23,100,42,0,0,0,0,0,0,0,0,0,"3,465","2,280",0,0,"5,424",0,0,0,0,343,372,TPM-2019-28,144.9381455,-37.79097555,POINT (144.9381455 -37.79097555)
Post May 16,X0007802,APPLIED,,North Melbourne,"2,385","9-101 Alfred Street, North Melbourne, 3051",616891,,,,,12,98,0,35,41,22,0,0,0,0,100,0,100,0,0,0,203,0,0,0,0,0,0,0,0,0,TPM-2019-28,144.9381455,-37.79097555,POINT (144.9381455 -37.79097555)
Post May 16,X0007803,APPLIED,,North Melbourne,"2,385","9-101 Alfred Street, North Melbourne, 3051",616891,,,,,12,153,0,61,70,18,0,0,0,0,0,0,0,0,0,"4,574",126,0,0,0,0,"2,508",0,0,0,0,TPM-2019-28,144.9381455,-37.79097555,POINT (144.9381455 -37.79097555)
Post May 16,X0007804,APPLIED,,Melbourne (CBD),47,130-134 Little Collins Street MELBOURNE VIC 3000,105966,,,,,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,429",678,0,0,0,0,0,0,0,24,76,TP-2017-826/A,144.9694,-37.8133,POINT (144.9694 -37.8133)
Post May 16,X0007805,APPLIED,,Southbank,809,132-136 Kavanagh Street SOUTHBANK VIC 3006,636830,,,,,40,271,11,113,129,18,0,0,0,0,91,0,91,0,0,0,400,0,0,0,0,0,0,"1,000",123,329,TPMR-2019-29,144.9612,-37.8262,POINT (144.9612 -37.8262)
Post May 16,X0007806,APPLIED,,Kensington,"2,547","346-350 Macaulay Road, Kensington, 3031",615627,,,,,8,71,0,19,42,10,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,545,476,TPM-2019-30,144.9345,-37.7942,POINT (144.9345 -37.7942)
Post May 16,X0007807,APPLIED,,Kensington,"2,547","346-350 Macaulay Road, Kensington, 3031",615627,,,,,8,88,0,17,65,6,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,TPM-2019-30,144.9345,-37.7942,POINT (144.9345 -37.7942)
Post May 16,X0007808,APPLIED,,Kensington,"2,547","346-350 Macaulay Road, Kensington, 3031",615627,,,,,8,51,0,37,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPM-2019-30,144.9345,-37.7942,POINT (144.9345 -37.7942)
Post May 16,X0007809,APPLIED,,Kensington,"2,547","346-350 Macaulay Road, Kensington, 3031",615627,,,,,8,89,0,14,61,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPM-2019-30,144.9345,-37.7942,POINT (144.9345 -37.7942)
Post May 16,X0007810,APPLIED,,Kensington,"2,547","346-350 Macaulay Road, Kensington, 3031",615627,,,,,8,62,0,26,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPM-2019-30,144.9345,-37.7942,POINT (144.9345 -37.7942)
